	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
Tumor necrosis factor subgraph	403	1095	738	0	6.76E-03	6	0
Ubiquitin degradation subgraph	129	259	154	0	1.57E-02	3	0
Unfolded protein response subgraph	55	162	92	0	5.45E-02	1	0
Vascular endothelial growth factor subgraph	57	167	113	0	5.23E-02	1	0
Vitamin subgraph	2	1	1	0	5.00E-01	1	0
Wnt signaling subgraph	54	113	50	0	3.95E-02	2	0
XIAP subgraph	371	1962	1103	0	1.43E-02	2	0
mTOR signaling subgraph	39	77	48	0	5.20E-02	2	0
miRNA subgraph	180	383	207	0	1.19E-02	4	0
p53 stabilization subgraph	51	137	83	0	5.37E-02	1	0
