INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
3d519729-e651-472e-a4a8-001df9a58230	0.98	16959871	The intracellular pathways by which CRH-R1 activates these MAPK are only partially understood; here we characterized further signaling mechanisms and molecules involved in CRH-R1-mediated ERK1/2 and p38 MAPK activation.	sparser	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:ERK))
5a7f93c2-3444-44d4-ae9a-9ad030783a43	0.92	17170072	CRHR1 mediated urocortin endocytosis was blocked by astressin (antagonist for both CRHRs), whereas CRHR2 mediated urocortin endocytosis was also blocked by antisauvagine 30 (selective CRHR2beta antagonist).	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:UCN))
748b83ee-dd42-4562-be90-b245fd42fd87	1.0	17197073	In melanocytes and fibroblasts CRH induced CRH-R1 stimulation upregulates POMC expression and production of ACTH through activation of cAMP dependent pathway (s).	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:CRHR1))
0a605dbf-88c5-4a68-90e5-c66431d1d055	0.92	17431005	However, the increased CRH-R1 mRNA expression was associated with a dampening of the receptor efficacy to activate the adenylyl cyclase and cAMP signaling cascade.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(PFAM:PF04199))
ba73b249-627e-4e26-a1da-35200bab3d2d	0.86	17463062	To investigate the individual role of CRHR1 and CRHR2, cell cultures were treated with the specific CRHR1 antagonist antalarmin and CRHR2 antagonist astressin2B, respectively.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRHR2))
1cd496eb-ae03-48c0-a970-c3cbcdb90bfe	0.86	17667919	It is tempting to speculate that in advanced stage ovarian carcinoma, chronic use of a CRHR1 antagonist could reduce tumour immune defence mechanisms by downregulating intratumoral FasL expression.	reach	p(HGNC:CRHR1)	directlyDecreases	p(HGNC:FASLG)
cdc782fd-312c-4d03-857f-94245a9ed144	0.95	17947354	Administration of the selective CRF (1) antagonist, antalarmin, before swim stress attenuated CRFr internalization.	reach	p(HGNC:C1QL1)	directlyDecreases	act(p(HGNC:CRHR1))
3d519729-e651-472e-a4a8-001df9a58230	0.98	18058954	Although each of these proteins had a similar effect on CRFR1 endocytosis, as they each, with the exception of PDZK1, function to antagonize CRFR1 internalization, they exhibit pleiotropic effects on the regulation of CRFR1 mediated ERK1/2 activity.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:ERK))
0a9d76af-2536-4e74-b5da-c03f6cb5ef63	0.92	18058954	Effect of MAGI proteins expression on agonist stimulated CRFR1 endocytosis.	reach	p(UP:P27392)	directlyIncreases	act(p(HGNC:CRHR1))
14367f12-f8b2-466b-a1b4-3450ffc2114c	1.0	18058954	In addition we find that while the overexpression of each of the MAGI proteins does not influence CRFR1 stimulated ERK1/2 phosphorylation, siRNA knockdown of each of the MAGIs results in a significant increase in CRFR1 mediated ERK1/2 phosphorylation.	reach	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:ERK, pmod(Ph))
6729af4b-7b3d-4296-b982-531ee888fadc	0.92	18058954	In addition, we assessed the effect of knockdown of endogenous MAGI proteins on agonist stimulated CRFR1 internalization.	reach	p(UP:P27392)	directlyDecreases	act(p(HGNC:CRHR1))
3d519729-e651-472e-a4a8-001df9a58230	0.98	18058954	Previous experiments examining the regulation of CRFR1 mediated ERK1/2 activation by two other MAGUK family members, SAP97 and PSD-95 yielded different results [XREF_BIBR XREF_BIBR].	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:ERK))
4ccf0658-ed26-43c3-a565-794559ace8e3	0.86	18058954	Similarly, we also find that CAL negatively regulates CRFR1 endocytosis when overexpressed [XREF_BIBR].	reach	p(HGNC:GOPC)	directlyDecreases	act(p(HGNC:CRHR1))
6729af4b-7b3d-4296-b982-531ee888fadc	0.92	18058954	Taken together, these data suggested that MAGI proteins are attenuating CRFR1 endocytosis by interfering with beta-arrestin recruitment to CRFR1.	reach	p(UP:P27392)	directlyDecreases	act(p(HGNC:CRHR1))
6729af4b-7b3d-4296-b982-531ee888fadc	0.92	18058954	The observation that each of the MAGI proteins antagonizes CRFR1 endocytosis suggested the possibility that MAGI proteins may play a role in regulating beta-arrestin recruitment to the receptor.	reach	p(UP:P27392)	directlyDecreases	act(p(HGNC:CRHR1))
0a9d76af-2536-4e74-b5da-c03f6cb5ef63	0.92	18058954	These results suggested that MAGI proteins did not contribute to the regulation of G protein dependent signaling of CRFR1 presented by the activation of the cAMP pathway.	reach	p(UP:P27392)	directlyIncreases	act(p(HGNC:CRHR1))
4ccf0658-ed26-43c3-a565-794559ace8e3	0.86	18058954	These studies showed that both SAP97 and CAL function to antagonize the internalization of CRFR1 [XREF_BIBR XREF_BIBR].	reach	p(HGNC:GOPC)	directlyDecreases	act(p(HGNC:CRHR1))
5e2d2999-be35-47e5-94df-4277338a711f	0.99	18058954	We find here that the overexpression of any of the MAGI proteins reduces CRF stimulated CRFR1 internalization, which is similar to what is observed for VPAC 1, but opposite to what is observed for the beta 1 -AR.	reach	p(HGNC:C1QL1)	directlyIncreases	act(p(HGNC:CRHR1))
0a9d76af-2536-4e74-b5da-c03f6cb5ef63	0.92	18058954	We find that all three MAGI proteins are co-immunoprecipitated with CRFR1 in a PDZ motif dependent manner and that either overexpression or knockdown of each of the MAGI proteins is able to negatively regulate CRFR1 endocytosis with MAGI-1 overexpression or knockdown negatively regulating CRFR1 endocytosis in a PDZ motif independent manner.	reach	p(UP:P27392)	directlyIncreases	act(p(HGNC:CRHR1))
14367f12-f8b2-466b-a1b4-3450ffc2114c	1.0	18058954	Whereas, SAP97 expression significantly enhanced CRFR1 stimulated ERK1/2 phosphorylation, PSD-95 overexpression had no effect on ERK1/2 phosphorylation induced by CRFR1 activation.	reach	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:ERK, pmod(Ph))
14367f12-f8b2-466b-a1b4-3450ffc2114c	1.0	18058954	While the overexpression of each of the MAGI proteins has no effect on CRFR1 mediated ERK1/2 phosphorylation, siRNA knockdown of any of the MAGIs results in a significant increase in the extent of ERK1/2 phosphorylation induced by CRFR1 activation.	reach	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:ERK, pmod(Ph))
a9742560-e0fb-41f0-91a8-9aca4c42c1bb	0.95	18079206	This effect was reversed by the CRH receptor type 1 (CRHR1) antagonist antalarmin but not by the CRHR2 antagonist astressin-2B, suggesting that CRHR1 mediated the inhibitory effect of CRH.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:CRH))
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	18234674	In contrast, both CRF-BP mutants retain the ability to inhibit Ucn 1 induced CRFR1 activation.	reach	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
5e2d2999-be35-47e5-94df-4277338a711f	0.99	18292205	Activation of CRFR1 by either CRF or urocortin (UCN) 1 reversibly inhibits Ca(V)3.2 currents (IC(50) of approximately 30 nM), but it does not affect Ca(V)3.1 or Ca(V)3.3 channels.	sparser	p(HGNC:C1QL1)	directlyIncreases	act(p(HGNC:CRHR1))
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	18292205	Activation of CRFR1 by either CRF or urocortin (UCN) 1 reversibly inhibits Ca(V)3.2 currents (IC(50) of approximately 30 nM), but it does not affect Ca(V)3.1 or Ca(V)3.3 channels.	sparser	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
45612fd6-507a-4ac0-8993-3fe966668a99	0.86	18550868	These data suggest that inhibition of food intake and weight loss induced by RRS or by MS involve different pathways, with hindbrain CRFR mediating the effect of MS on body weight and food intake.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:MTR))
9dd58ed9-99e4-4320-8113-053cc995b3a3	0.95	18777604	The CRF type 1 receptors (CRF-R1) that mediate autonomic responses to CRF have only a scant presence in the PVN under normal conditions.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:C1QL1))
ce805b9d-6f06-4652-a9f4-a48e18cd2e70	0.86	18777604	This may reflect a higher tissue concentration of CRF or of CRF-R1 induced by intracarotid TNF-alpha than by ICV CRF.	reach	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:CRHR1))
748b83ee-dd42-4562-be90-b245fd42fd87	1.0	19008330	In most cell types, activation of CRH-R1 or CRH-R2 by CRH or urocortins results in activation of the Gs-adenylyl cyclase pathway and increased cAMP levels; however, recent evidence has demonstrated that in some tissues and cell types both CRH receptors can couple to other G proteins including Gq, Gi, and Go, resulting in activation of various kinases including PKC, MAPK, and Akt (reviewed in ( xref ; xref )).	sparser	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:CRHR1))
e0e68125-874d-4464-a102-250578ff9283	0.98	19008330	We used CRH receptor antagonists (alpha-helical CRH 9-41 and astressin) that block both CRH-R1 and CRH-R2 (reviewed in) to determine whether the CRH- and UCNI mediated increases in intracellular cAMP were specifically mediated by CRH receptors.	reach	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:CRHR1))
ce805b9d-6f06-4652-a9f4-a48e18cd2e70	0.86	19026699	On the contrary, UCN II, CRF-R1, and CRF-R2 mRNAs were markedly increased by co-incubation of pitavastatin and TNF-alpha.	reach	p(HGNC:TNF)	directlyIncreases	act(p(HGNC:CRHR1))
9dd58ed9-99e4-4320-8113-053cc995b3a3	0.95	19036986	Whereas CRF effects on presynaptic GABA release were mediated by CRF-R1, its direct postsynaptic effects on inward current were mediated by CRF-R2 and on GABA receptors were mediated by both receptor subtypes.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:C1QL1))
cdc782fd-312c-4d03-857f-94245a9ed144	0.95	19539724	Chronic morphine induced reductions in the availability of the CRFr in BSTal dendrites may lead to decreased CRFr activation by CRF, and subsequent alterations in stress responsivity.	reach	p(HGNC:C1QL1)	directlyDecreases	act(p(HGNC:CRHR1))
f257504e-634d-4c85-8d68-8ca8dafc9022	0.95	19800323	These findings obtained from cocaine experienced rats paralleled the findings of XREF_BIBR in cocaine-naive mice, where CRF potentiation of NMDA mediated synaptic transmission was blocked by the same CRF-R2 and was not blocked by the same CRF-R1 antagonists.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:C1QL1))
e075b3cb-d141-4d8e-b914-75eab64e9beb	0.92	19906229	XREF_BIBR In addition, they also downregulate the expression of corticotrophic CRH-R1 mRNA, thus decreasing CRH-R1 number, which ultimately diminishes ACTH secretion.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:POMC))
7a70ebc4-52ec-4389-b454-672f044efed2	0.95	19913194	Among the PKC isozymes, we hypothesized that protein kinase C epsilon (PKCepsilon) mediates downstream effects of CRF-R1 activation in the CeA because PKCepsilon is expressed throughout the amygdala and PKCepsilon -/- mice show reduced anxiety like behavior and reduced alcohol consumption.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CEACAM5))
5462e738-7b04-4a8a-8ad1-33828856280a	0.86	19913194	Among the PKC isozymes, we hypothesized that protein kinase C epsilon (PKCepsilon) mediates downstream effects of CRF-R1 activation in the CeA because PKCepsilon is expressed throughout the amygdala and PKCepsilon -/- mice show reduced anxiety like behavior and reduced alcohol consumption.	reach	p(HGNC:PRKCE)	directlyIncreases	act(p(HGNC:CRHR1))
ade3b614-2cde-4211-98b2-c6b76b3a31f4	0.94	20080775	Importantly, CRFR1 stimulates insulin secretion only during conditions of intermediate to high ambient glucose, and the CRFR1 dependent phosphorylation of Erk1/2 is greater with elevated glucose concentrations.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:INS))
14367f12-f8b2-466b-a1b4-3450ffc2114c	1.0	20080775	Importantly, CRFR1 stimulates insulin secretion only during conditions of intermediate to high ambient glucose, and the CRFR1 dependent phosphorylation of Erk1/2 is greater with elevated glucose concentrations.	reach	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:ERK, pmod(Ph))
14367f12-f8b2-466b-a1b4-3450ffc2114c	1.0	20080775	Importantly, CRFR1 stimulates insulin secretion only during conditions of intermediate to high ambient glucose, and the CRFR1-dependent phosphorylation of Erk1/2 is greater with elevated glucose concentrations.	sparser	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:ERK, pmod(Ph))
ade3b614-2cde-4211-98b2-c6b76b3a31f4	0.94	20080775	We demonstrate the presence of CRF receptor type 1 (CRFR1) on primary beta cells and show that activation of pancreatic CRFR1 promotes insulin secretion, thus contributing to the restoration of normoglycemic equilibrium.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:INS))
4a407db2-cb38-495f-8415-5d0f93e69027	0.97	20206175	Activation of CRHR1 increases Akt phosphorylation whereas that of CRHR2 reduces it.	reach	p(HGNC:CRHR1)	directlyIncreases	p(FPLX:AKT, pmod(Ph))
a9742560-e0fb-41f0-91a8-9aca4c42c1bb	0.95	20374216	CRHR1 receptor (but not CRHR2) antagonists blocked both CRH and ethanol effects in wild-type mice.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:CRH))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	Based on our data, we propose a multistep mechanism whereby CRF peptide activation of CRFR1 enhances 5-HT 2 R signaling by increasing the availability of 5-HT 2 R at the surface of cells to be activated by agonist and to couple to the activation of phospholinositol phosphatase Cbeta mediated inositol phosphate formation (XREF_SUPPLEMENTARY).	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	CRFR1 activation enhances 5-HT 2 R signaling.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	The CRFR dependent enhancement of 5-HT 2 R signaling also required the interaction of PDZ domain containing proteins with both receptors, since the deletion of PDZ binding motifs in the carboxyl-terminal tail domains of either CRFR1, 5-HT 2A R or 5-HT 2C R prevented CRF mediated sensitization of 5-HT 2 R signaling.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	The sensitization of 5-HT 2 R signaling by CRFR1 required intact PDZ domain binding motifs at the end of the C-terminal tails of both receptor types.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	The signaling of both 5-HT 2A/C and CRF receptors is linked to the regulation of anxiety behaviors and CRFR activation has previously been shown to modulate 5-HT 2 R signaling by an unknown mechanism XREF_BIBR.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	These findings provide an additional mechanism by which receptor endocytosis and recycling contribute to the regulation of GPCR responsiveness in general and specifically show how CRFR1 activation can positively modulate 5-HT 2 R signaling thereby leading to pathophysiological behavioural responses.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
e48394bf-81d6-4b17-8440-dff6779f8da4	0.95	20383137	Thus, we demonstrated both that CRFR1 activation positively modulated 5-HT 2 R signaling in cortical neurons and that these two receptors were co-expressed in the same neuronal populations.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:HTR2A))
748b83ee-dd42-4562-be90-b245fd42fd87	1.0	20833240	As indicated above, in addition to stimulating the HPA axis, activation of CRHR1 by CRH plays a major role coordinating stress responses, including sympathetic systems, central suppression of the immune system, arousal and other stress related behaviors.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:CRHR1))
0a605dbf-88c5-4a68-90e5-c66431d1d055	0.92	21092110	The dominant CRHR1 activated signaling pathway in endogenous and recombinant cell lines is the adenylyl cyclase protein kinase A (PKA) pathway via Galpha s [XREF_BIBR, XREF_BIBR].	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(PFAM:PF04199))
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	21185371	All CRHR are activated by urocortin (Ucn), a peptide with about 50% structural similarity to CRH [ xref ].	sparser	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	21185371	All CRHR are activated by urocortin (Ucn), a peptide with about 50% structural similarity to CRH [XREF_BIBR].	reach	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
3fdf3521-dc4b-4841-9310-9fde2cd5df56	0.98	21258618	The ethanol- and CRF1-dependent PKA activation, in turn, could modulate downstream effector molecules such as synaptotagmin and voltage sensitive Ca ++ channels, resulting in an increase in presynaptic vesicular GABA release.	sparser	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:PKA))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	21438878	These differences may involve the corticotropin releasing hormone receptor produced by CRHR1.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
f53765a2-e6c4-439d-959a-a4a77b58fcf5	0.86	21448293	Notably, these data are consistent with previous findings showing that stress facilitation of drug reward depends on CRFR1 and CREB activation in NAc XREF_BIBR, as well as the finding that CRFR1 is the predominant CRF receptor expressed within this brain region XREF_BIBR - XREF_BIBR.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:NLRP1))
7a70ebc4-52ec-4389-b454-672f044efed2	0.95	21597991	CRHR1 and CRHR2 blockade with microinjections of antalarmin and anti-sauvagine-30, respectively, attenuated the alcohol induced increase of extracellular beta-endorphin in CeA.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CEACAM5))
e0e68125-874d-4464-a102-250578ff9283	0.98	21660287	CRHBP binds to CRH and thus reduces the ability of CRH to activate the CRHR1 and CRHR2 receptors.	reach	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:CRHR1))
dd97a925-948d-40c0-a7f7-67b8a5cfc09a	0.95	21664419	The results showed that CRF increased CRFR1 expression through the MEK-ERK1/2 pathway.	reach	p(HGNC:C1QL1)	directlyIncreases	p(HGNC:CRHR1)
5e2d2999-be35-47e5-94df-4277338a711f	0.99	21683135	Thus, it has been generalized that activation of CRF-R1 by CRF increases anxiety like behavior whereas activation of CRF-R2 by UCN1 decreases anxiety like behavior.	reach	p(HGNC:C1QL1)	directlyIncreases	act(p(HGNC:CRHR1))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	21854167	CRH type 1 receptor (CRH-R1) mediates actions of CRH and urocortin I to promote anxiety like behaviour, whereas the CRH type 2 receptor (CRH-R2) may mediate anxiolytic actions, through actions of urocortins 2 and 3.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
aede70b4-52da-40b5-b536-704b1e049096	0.86	21909974	Glucocorticoid treatment rescued GS expression in CRFR1 null mice, indicating that CRFR1 mediated changes in cochlear GS expression depend on signaling through glucocorticoids.	reach	p(HGNC:CRHR1)	directlyIncreases	p(HGNC:GLUL)
a9742560-e0fb-41f0-91a8-9aca4c42c1bb	0.95	21969792	[XREF_BIBR] Although Habib et al. showed that intracerebroventricular injection of CRHR1 antagonists reduced the autonomic responses to stress, [XREF_BIBR] peripheral injection did not influence these responses, but others showed that peripheral administration of CRHR1 antagonists abolished the effect of CRH on colon transit.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:CRH))
