INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
3ab617fd-8f5a-4cc2-9aa6-b85251f8a148	1.0	5575981	Our results indicate that autocrine secretion of PRL stimulates tyrosine phosphorylation of ErbB-2 by Jak2, provides docking sites for Grb2 and stimulates Ras-MAP kinase cascade, thereby causing unrestricted cellular proliferation.	p(HGNC:ERBB2)	directlyIncreases	act(p(HGNC:GRB2))
62be0f6a-31f3-4499-9645-c7895eb42706	1.0	23700486	These findings clearly indicate the importance of EGFR-HER3 heteromerization in HER3 mediated Grb2 dependent signaling pathways and supports the central role of HER3 in the diversity and regulation of HER family functioning.	p(HGNC:ERBB3)	directlyIncreases	act(p(HGNC:GRB2))
fcb24bdb-82c1-4bc2-93b0-4c4f05de4b7e	1.0	16729043	Egfr and erbb4 had several docking sites for grb2, while erbb3 was characterized by six binding sites for pi3k. Egfr has six binding sites for the adapter protein grb2, and erbb4 has five, each with different binding strength.	p(HGNC:ERBB4)	directlyIncreases	act(p(HGNC:GRB2))
04d5eb5f-d10a-496d-9774-65b666e5de9a	1.0	7855886	Mutational in- activation of either the SH2 domain or the SH3 domains of the Grb2 homolog Sam-5 result in impaired signal trans- duction and severe developmental defects in the nematode Caenorhabditis elegans6.	p(HGNC:"ERVK-10", var("p.?"))	directlyIncreases	act(p(HGNC:GRB2))
312ff8aa-dd34-4331-8e37-d2c7ea4f7cdc	1.0	9182757	Immunoprecipitation of Grb2 from lysates of aFGF (acidic FGF) -stimulated cells, followed by SDS-PAGE and immunoblotting with anti-phosphotyrosine (pY) antibodies, showed that aFGF induces association of Grb2 with several pY containing proteins (A) but not with the activated FGF receptor (B).	p(HGNC:FGF1)	directlyIncreases	act(p(HGNC:GRB2))
ce13533f-5f2a-4101-90e2-4e17e02d625f	1.0	22726438	Inhibition of basal fgf receptor signaling by dimeric grb2.	p(HGNC:FGFR2)	directlyIncreases	act(p(HGNC:GRB2))
27a2c5ab-e7e6-470b-969e-0aa49edd7c38	1.0	15327889	Alternatively, the assembly of a complex containing FRS2, Grb2, and Gab1 induced by FGF stimulation results in activation of phosphatidylinositol 3-kinase (PI-3K) and downstream effector proteins such as the serine ⧸ threonine kinase Akt, whose cellular localization and activation are regulated by products of PI-3K enzymatic activity ().	p(FPLX:FGF)	directlyIncreases	act(p(HGNC:GRB2))
27130ba0-dee1-4a2b-ab4a-ef289dbc97f3	1.0	10080542	FL stimulation induces association of Grb2 with Flt3, SHP-2,and Shc	p(HGNC:FLT3)	directlyIncreases	act(p(HGNC:GRB2))
82f2c1b7-b702-4b99-8b7b-3011ba6f7df6	1.0	9182757	In this report, we demonstrate that FGF stimulation induces tyrosine phosphorylation of a novel lipid anchored docking protein, termed FRS2, that forms a complex with Grb2/Sos, thus linking FGF-receptor activation to the Ras/MAPK signaling pathway.	p(HGNC:FRS2)	directlyIncreases	act(p(HGNC:GRB2))
ec877311-d27e-4f24-bc7a-5597a82de0a1	1.0	20032303	ERK1/2 phosphorylates FRS2alpha, thereby inhibiting its tyrosine phosphorylation by growth factor receptors to reduce binding of growth factor receptor bound protein 2 (Grb2) and SOS complex, leading to reduced Ras activation and ultimately ERK1/2 activation (XREF_BIBR).	p(UP:Q8C180)	directlyIncreases	act(p(HGNC:GRB2))
f1aac36b-bd9c-4835-bfff-0f7688ef57ef	1.0	24476104	Gas6 activation and recruitment of Grb2 can activate MAPK and ERK (Fridell et al., XREF_BIBR).	p(HGNC:GAS6)	directlyIncreases	act(p(HGNC:GRB2))
24cb110e-cb66-4734-84d3-638be3be0e38	1.0	7225611	Additionally, GH induced further accumulation of GHR, Grb2, and SHC proteins in the CM fraction.	p(HGNC:GH1)	directlyIncreases	act(p(HGNC:GRB2))
03e098c8-8609-4768-9a92-c9e97283c6c0	1.0	3844296	Here we show that overexpression of Grb2 potentiates the EGF induced activation of Ras and mitogen activated protein kinase by enhancing the rate of guanine nucleotide exchange on Ras.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:MAPK))
4736c26c-d74b-4084-8da1-c392ac422a98	1.0	23420874	Here we confirm the occurrence of this activity under nonstimulated conditions by the observation of a higher molecular weight band corresponding to phosphorylated Grb2 (also described by XREF_BIBR) that is apparent in HEK293T cells overexpressing FGFR2 (XREF_FIG).	p(HGNC:GRB2, pmod(Ph))	directlyIncreases	act(p(HGNC:FGFR2))
fb2613a9-4d03-45d2-bbbc-29174cebfd03	1.0	22726438	These Grb2 mutants were transfected into stable HEK293T cells overexpressing WT FGFR2.	p(HGNC:GRB2, var("p.?"))	directlyIncreases	act(p(HGNC:FGFR2))
3886aad0-835c-455e-9460-6cc1faf01598	1.0	8402896	We demonstrate that bcr-abl exists in a complex with grb-2 in vivo. Binding of grb-2 to bcr-abl is mediated by the direct interaction of the grb-2 sh2 domain with a phosphorylated tyrosine, y177, within the bcr first exon.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:ABL1))
db5b811f-ea72-4152-af32-11575a769130	1.0	23913973	Upon ligation of NKG2D, cytoplasmic tail tyrosine phosphorylated DAP10 recruits PI3K or the growth factor receptor bound protein 2 (GRB2)/VAV1 signaling intermediate, thereby activating protein kinase B (PKB and AKT), and ERK and JNK in MAPK cascades (XREF_BIBR).	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:AKT1))
23ef5fa0-52c1-4bd6-be11-ff957ce43cd7	1.0	25659534	GRB2 as an adaptor protein, mediates both PI3K and AKT and RAS and ERK activation through the associations of Gab2 and PI3K and Shp2, respectively.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:AKT))
4755b0a5-2737-4b59-a5f8-eedd39c6c072	1.0	5915479	These results provide a novel mechanism of PDGF dependent signaling, in which Lad acts as an adaptor in a tissue specific manner, linking PDGF signal to Grb2 and subsequent activation of AP-1.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:AP1))
e53429c0-98c1-469e-83b5-72c98c837597	1.0	24407288	However, we report that these two adaptors regulate ARF1 activation differently, with Grb2 promoting ARF1 activation and p66Shc blocking this response.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:ARF1))
a0f0c933-0fc1-4439-a8de-8f532dafe209	1.0	19262673	Taking advantage of this, we have analysed the dynamics of neuronal Wiskott-Aldrich syndrome protein (N-WASP), WASP interacting protein (WIP), GRB2 and NCK, which are required to stimulate actin related protein (ARP) 2/3-complex-dependent actin based motility of vaccinia virus, using fluorescence recovery after photobleaching.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:Actin))
c264e451-6fb4-43fa-a48b-d39bf368ea4a	1.0	10781580	These results suggest that Grb2 may activate Arp2/3 complex mediated actin polymerization downstream from the receptor tyrosine kinase signaling pathway.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:"Arp2_3_protein"))
2e51b5fe-a569-404d-8e52-401c0211cdaa	1.0	22577344	It is known that GRB2, which mediates Ras activation, and BRAF, which is a Ras effector, are both required for full activation of ERK [52,53].	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:BRAF))
bf573751-a4ef-4fa1-9f46-adafc3339e50	1.0	25413232	With this approach we identified three amino acids at the very N-terminus of the Grb2 N-SH3 that restore binding to Btk if transplanted into the GRAP N-SH3.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:BTK))
8fdf6578-8cf5-4999-a926-6e19fa9eb53b	1.0	11823423	The underlying mechanism seems to involve recruitment of a grb2 c-cbl complex to grb2-specific docking sites of egfr, and concurrent acceleration of receptor ubiquitylation and desensitization.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:CBL))
6df342ba-2dde-4a46-82fa-beffe18ceedd	1.0	24708867	Nonetheless, morphological alterations and E-cadherin down-regulation induced by the oncogenic Tpr-Met, and by Grb2 or Shc signals, were blocked by MEK, but not PI3K, inhibitors while the enhanced growth and resistance to anoikis induced by Tpr-Met were nearly abolished by co-treatment with both inhibitors.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:CDH1))
2f12d77e-8ee9-48e1-9cef-5081e1f4b34f	1.0	24407288	Here, we identify adaptor proteins Grb2 and p66Shc as important regulators mediating ARF activation.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:CDKN2A))
aff544da-c84b-4c21-9199-cda81b73b180	1.0	11278754	Overexpression of Grb2 accelerates Jab1 and CSN5 mediated degradation of p27, while Grb3-3 expression suppresses it.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:COPS5))
714bb0bc-3ecb-4d7c-a148-c0fa0541a7bb	1.0	24708867	Considering these observations, with our current findings, we suggest the targeting of Grb2 signaling in CRC, particularly in the context of deregulated Met, as a potentially effective therapeutic strategy to reduce CRC metastasis.	p(HGNC:GRB2)	directlyIncreases	act(p(UP:Q8L925))
cfb834cb-4bac-40c2-903e-a2766efb24f7	1.0	25413232	However, recently we provided evidence that in mIgG expressing cells Grb2 promotes B-cell activation by supporting the mobilization of Ca 2+ on binding to the phosphorylated ITT.	p(HGNC:GRB2)	directlyIncreases	act(a(CHEBI:29108))
b48a7c51-a8a7-4945-ba36-1a9fd514dc96	1.0	15494217	This step is required to, in turn, promote the binding of dynamin II to Grb-2, a process that can be blocked by phosphoinositide 3-kinase (PI3K) inhibitors.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:DNM))
41bc0ac7-7937-4638-bd3b-19dbdff17ac8	1.0	19531499	XREF_TABLE shows the 17 proteins, in addition to the EGFR, that intersect these two data sets including the ligand EGF; proteins involved in EGFR signaling such as SHC1, GRB2, and SOS1; and others associated with receptor endocytosis, including the ubiquitin E3 ligases CBL and CBLB and ubiquitin (XREF_TABLE).	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:EGFR))
73c68a46-2112-4052-90c6-7eee8ed7e3d1	1.0	25032861	In the receptor dependent pathway, AR but not androgen controls transcription of several components of the EGF signaling including EGF, RASA, GRB2 and SHC (XREF_FIG).	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:EGF))
b7d3f978-de2b-4afd-afe3-1adae740d40a	1.0	12925710	Activated EphB1 recruits the adaptor proteins Grb2 and p52 Shc.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:EPHB1))
ca806dba-bea5-4334-96cc-3d62bed4407b	1.0	23700486	These findings clearly indicate the importance of EGFR-HER3 heteromerization in HER3 mediated Grb2 dependent signaling pathways and supports the central role of HER3 in the diversity and regulation of HER family functioning.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:ERBB3))
1ea42dca-e881-410b-a28f-035242cc8ea8	1.0	25659534	GRB2 as an adaptor protein, mediates both PI3K and AKT and RAS and ERK activation through the associations of Gab2 and PI3K and Shp2, respectively.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:ERK))
33c6fbca-8739-437a-b7ef-8e4823f6a5c9	1.0	18789888	Our findings here are consistent with a direct interaction between FasL and SNX18, not mediated via Grb2, despite the ability of Grb2 to bind separately to SNX18 and to FasL.In contrast to our findings with SNX18, co-precipitation of adaptin beta with FasL was attenuated by Grb2 knockdown (B and C), suggesting that the interaction between FasL and adaptin beta is facilitated by Grb2.In this report, we show that the adaptor protein Grb2 positively regulates the cell surface expression of FasL in Schwann cells, and that Grb2 mediated FasL trafficking requires the proline rich domain of FasL.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:FASLG))
1748b146-16d8-4f62-bd21-e64b012754a6	1.0	19735729	Lack of direct binding to FGFR1 (C) suggests that the previously observed Grb2 mediated precipitation of FGFR1 occurs exclusively through a ternary complex consistent with the previously reported binding to FRS2.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:FGFR1))
fff76787-857d-4e22-84bd-ad514a7462ca	1.0	22726438	The level of phosphorylation of the kinase domain is unaffected by the increasing concentration of Grb2 (C), whereas increasing amounts of Grb2 enhance the pFGFR2 concentration (D and S1E).	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:FGFR2))
4cf726d9-ab06-49a8-ab15-f650bddb7e1e	1.0	12766170	The gab1 docking protein forms a platform for the assembly of a multiprotein signaling complex downstream from receptor tyrosine kinases. In general, recruitment of gab1 occurs indirectly, via the adapter protein grb2	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:GAB1))
a09a2b2d-ac12-48a3-a3d1-a11439808b03	1.0	24737791	The signaling mechanism utilizes an adaptor protein, shc, which binds to a phosphotyrosine residue on the il-2/15r?, Resulting in activation of grb2 and onto akt via the shc-grb2-gab2-pi3k-akt signaling pathway to increase cell proliferation and/or survival	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:GAB2))
0917e5ac-168c-4e21-a2d4-8e0903bdee23	1.0	5148985	First, a GTP and GDP exchange factor called SOS, which is mediated by Shc and Grb2, migrates to the plasma membrane and converts a ras protein to its GTP form.	p(HGNC:GRB2)	directlyIncreases	act(a(CHEBI:17552))
6e1138bf-4ce2-4aee-a2fa-453964b1b5c6	1.0	25535246	Rather, SHP1 and THEMIS engage with the N-SH3 and C-SH3 domains of GRB2, respectively, a configuration that allows GRB2-SH2 to recruit the complex onto LAT.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:GRB2))
6e1138bf-4ce2-4aee-a2fa-453964b1b5c6	1.0	25535246	Rather, SHP1 and THEMIS engage with the N-SH3 and C-SH3 domains of GRB2, respectively, a configuration that allows GRB2-SH2 to recruit the complex onto LAT.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:GRB2))
59948d91-dfa6-46b4-a0a5-77990dfcb7b6	1.0	5148985	First, a GTP and GDP exchange factor called SOS, which is mediated by Shc and Grb2, migrates to the plasma membrane and converts a ras protein to its GTP form.	p(HGNC:GRB2)	directlyIncreases	act(a(CHEBI:15996))
7d87df21-6b61-4ccd-86e6-4afff5bc7a62	1.0	3209657	Bacterially expressed growth factor receptor bound protein 2 (GRB2) and the SH3 domain of c-Src were also found to stimulate GTPase activity, although to a lesser extent than microtubules.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:GTPase))
d72694ce-1500-4fd9-967b-c372a6210f28	1.0	4355444	Whereas Grb2 connects activated receptor tyrosine kinases with Sos and activates p21ras, recent evidence suggests that this may not be the major mechanism by which Crk and Nck signal to downstream effectors.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:HRAS))
0e736439-8cfb-42d1-9b10-938eb4b4bf93	1.0	15494217	Therefore, over-expression of Grb-2 should enhance PDGF- and S1P dependent activation of p42 and p44 MAPK by theoretically increasing internalisation of the PDGFbeta receptor-S1P receptor complex and thus, promoting the subsequent association of p42 and p44 MAPK with PDGFbeta receptor-GPCR complexes in endocytic vesicles.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:IFI44))
9c9af67a-485c-47a4-a6a8-9c9df22115aa	1.0	27025927	Thus, it seem plausible that upon IL-2 stimulation Grb2 and its constitutive interactor Gab2 are recruited to the activated receptor complex through the SH2 domains of Grb2.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:IL2))
202e9b87-f041-4931-a111-866236f8b74f	1.0	24349514	Further, Insr (0.94-fold, P < 0.001), Grb2 (0.88-fold, P < 0.05), Gab1 (Grb2 associated binding protein 1) (0.92-fold, P < 0.05), and Srebf1 (0.77-fold, P < 0.01) were downregulated, suggesting that miR-494 might also inhibit insulin stimulated cell growth via Ras-Raf-MAPK pathway and lipid biosynthesis.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:INS))
2680f75c-c02c-49a0-831d-01e7c1db21d8	1.0	20648549	Activated IRS 1 and SHC provide docking sites for src-homology (SH2) containing proteins including the p85 regulatory subunit of PI3K, and the guanine-nucleotide exchange factor GRB2 and SOS [XREF_BIBR], respectively.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:IRS1))
94ed4922-a1a2-4c98-bdc8-3f0da14bc05f	1.0	23936226	We have demonstrated that the SH2 domains of the kinases Fyn, Fgr and Abl1, the regulatory subunit of PI3K, the adaptor proteins Grb2 and Crk, and phospholipase C gamma could mediate binding to ITSN2.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:ITSN2))
355a28c1-57f7-41e8-b4ff-c5337a934b29	1.0	25413232	The N-terminal Grb2 SH3 domain mediates ITT signalling.	p(HGNC:GRB2)	directlyIncreases	act(a(PUBCHEM:8583))
43fab13e-a1f2-4d60-8cf4-365cf8d8cb5a	1.0	24939894	The kinase LMTK3 promotes invasion in breast cancer through GRB2 mediated induction of integrin beta1.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:Integrins))
e98f11ef-5e83-45e3-8413-a5dc2a7ead3c	1.0	23913973	Upon ligation of NKG2D, cytoplasmic tail tyrosine phosphorylated DAP10 recruits PI3K or the growth factor receptor bound protein 2 (GRB2)/VAV1 signaling intermediate, thereby activating protein kinase B (PKB and AKT), and ERK and JNK in MAPK cascades (XREF_BIBR).	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:JNK))
fbe362a3-0822-40a9-ba37-fb6dd66b3b5f	1.0	6733199	These results indicate that Gads and Grb2 mediated LAT association is critical for the inhibitory function of Gab2, implying that Gab2 induced in stimulated T cells may exert an efficient negative feedback loop by recruiting inhibitory molecules to the lipid raft and competing with SLP-76 through Gads binding.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:LAT))
b5b5fe7a-2c53-4ce5-b7b0-b523c2640906	1.0	9891069	The first and second proline-rich motifs containing the grb2 n-sh3-binding consensus sequence (-p-x-x-p-x-r/k-) were implicated in the binding of hpk1 to grb2.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:MAP4K1))
b901d5f0-914d-44b4-bc48-9779afcf1b59	1.0	4412838	To investigate the mechanisms by which FAK, c-Src, and Grb2 function in FN stimulated signaling events to ERK2, we expressed wild type and mutant forms of FAK in human 293 epithelial cells by transient transfection.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:MAPK1))
e5e4a300-9782-46a0-af19-9a6200c6ec70	1.0	25269081	Examples include GRB2 and SOS1 which activates extracellular signal regulated kinase 1 and 2 (Erk1/2) MAP kinase, phosphatidylinositol 3-kinase (PI3-kinase), phospholipase C-gamma, STAT family members, members of the Src family of tyrosine kinases, and the protein tyrosine phosphatase SHP-2 XREF_BIBR XREF_BIBR.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:MAPK3))
b9cc0b9a-c3fa-45ab-9f28-a0ee9c5b489a	1.0	23922722	GRB2 is also well known to activate the mitogen activated protein kinase and extracellular signal regulated kinase pathway XREF_BIBR - XREF_BIBR.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:MAPK))
4655e03b-a9f5-446c-b937-b80268c1f250	1.0	4804601	In the early phase after PH, GRB-2 activated the Ras-MAPK cascade by linking HGF receptor, IRS-1, or EGF receptor to Sos.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:MET))
989adbdb-5d14-4a50-bf95-0e6d1ba4bf97	1.0	19924227	We tested, therefore, whether Grb2 and CA-beta-catenin could cooperatively activate the MMP9 promoter.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:MMP9))
15f5144a-33f1-482a-aaeb-72a350b842d7	1.0	12007418	Our observations confirm that Grb2 is able to elicit actin tail formation independently of Nck, albeit with greatly reduced efficiency.While ectopic expression of A36R mutants in cells infected with DeltaA36R virus provides a powerful approach, we wondered whether we would obtain a clearer indication that actin tail formation is less efficient in the absence of the Grb2 pathway when A36R-Y132F was expressed from its natural viral promoter during infection.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:NCK1))
9b9e9f01-965f-4444-9c4e-a19e31f659d2	1.0	15494217	Therefore, over-expression of Grb-2 should enhance PDGF- and S1P dependent activation of p42 and p44 MAPK by theoretically increasing internalisation of the PDGFbeta receptor-S1P receptor complex and thus, promoting the subsequent association of p42 and p44 MAPK with PDGFbeta receptor-GPCR complexes in endocytic vesicles.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:PA2G4))
452e3a77-dc41-467b-b703-76b9b1e697d3	1.0	15494217	Therefore, over-expression of Grb-2 should enhance PDGF- and S1P dependent activation of p42 and p44 MAPK by theoretically increasing internalisation of the PDGFbeta receptor-S1P receptor complex and thus, promoting the subsequent association of p42 and p44 MAPK with PDGFbeta receptor-GPCR complexes in endocytic vesicles.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:PDGF))
013870a2-c4d9-43a5-b025-48a499808f91	1.0	4538862	D746 is not activated by microtubules or Grb2, highlighting the significance of the PRD for these interactions, but it is activated by phospholipid vesicles containing phosphatidylserine or phosphatidylinositol-4,5- bisphosphate.	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:PEPD))
89450c8d-17b2-4328-9ef0-7050adf1ab0e	1.0	25659534	GRB2 as an adaptor protein, mediates both PI3K and AKT and RAS and ERK activation through the associations of Gab2 and PI3K and Shp2, respectively.	p(HGNC:GRB2)	directlyIncreases	act(p(FPLX:PI3K))
8904116d-a2fb-4092-b879-dcdb8c5c613d	1.0	17336371	From the mutational studies, we demonstrated that Grb2 inhibits enzymatic activity of PLC-1 by inhibiting substrate acceptability of PLC-1 ().	p(HGNC:GRB2)	directlyIncreases	act(p(HGNC:PLCG1))
